caseid,respondentid,houseviewed,option,fireplaces,bedrooms,preference,averagecostpersquarefootcomparisons,cashprice
1,1,1,A,yes,3 bedroom,0,90,420000
2,1,1,B,yes,2 bedroom,0,110,370000
3,1,1,C,yes,3 bedroom,1,90,370000
4,1,2,A,yes,3 bedroom,0,90,370000
5,1,2,B,yes,3 bedroom,1,100,420000
6,1,2,C,yes,4 bedroom,0,90,420000
7,1,3,A,yes,3 bedroom,1,110,420000
8,1,3,B,yes,4 bedroom,0,100,370000
9,1,3,C,yes,4 bedroom,0,110,470000
10,1,4,A,yes,4 bedroom,1,100,470000
11,1,4,B,yes,3 bedroom,0,110,470000
12,1,4,C,yes,2 bedroom,0,90,370000
13,1,5,A,yes,4 bedroom,1,90,370000
14,1,5,B,yes,4 bedroom,0,90,470000
15,1,5,C,yes,2 bedroom,0,90,470000
16,1,6,A,yes,4 bedroom,0,90,470000
17,1,6,B,yes,3 bedroom,1,100,420000
18,1,6,C,yes,2 bedroom,0,100,420000
19,1,7,A,yes,2 bedroom,1,90,420000
20,1,7,B,yes,3 bedroom,0,100,470000
21,1,7,C,yes,4 bedroom,0,90,370000
22,1,8,A,yes,4 bedroom,0,90,420000
23,1,8,B,yes,2 bedroom,0,110,470000
24,1,8,C,yes,2 bedroom,1,100,370000
25,1,9,A,yes,2 bedroom,1,90,420000
26,1,9,B,yes,3 bedroom,0,100,370000
27,1,9,C,yes,3 bedroom,0,100,470000
28,1,10,A,yes,4 bedroom,0,110,420000
29,1,10,B,yes,4 bedroom,1,110,370000
30,1,10,C,yes,4 bedroom,0,100,420000
31,1,11,A,yes,2 bedroom,1,100,420000
32,1,11,B,yes,2 bedroom,0,110,470000
33,1,11,C,yes,2 bedroom,0,90,470000
34,1,12,A,yes,4 bedroom,0,110,470000
35,1,12,B,yes,2 bedroom,0,110,420000
36,1,12,C,yes,3 bedroom,1,110,420000
37,1,13,A,yes,2 bedroom,0,90,370000
38,1,13,B,yes,2 bedroom,1,110,370000
39,1,13,C,yes,3 bedroom,0,110,370000
40,1,14,A,yes,3 bedroom,0,110,470000
41,1,14,B,yes,4 bedroom,0,110,370000
42,1,14,C,yes,4 bedroom,1,100,370000
43,1,15,A,yes,2 bedroom,0,100,370000
44,1,15,B,yes,2 bedroom,1,100,470000
45,1,15,C,yes,3 bedroom,0,100,370000
46,2,1,A,no,4 bedroom,1,90,470000
47,2,1,B,no,3 bedroom,0,100,470000
48,2,1,C,no,4 bedroom,0,90,370000
49,2,2,A,no,3 bedroom,1,90,370000
50,2,2,B,no,2 bedroom,0,90,470000
51,2,2,C,no,3 bedroom,0,100,370000
52,2,3,A,no,4 bedroom,0,100,370000
53,2,3,B,no,4 bedroom,1,110,420000
54,2,3,C,no,3 bedroom,0,100,420000
55,2,4,A,no,4 bedroom,1,110,370000
56,2,4,B,no,3 bedroom,0,90,420000
57,2,4,C,no,4 bedroom,0,110,470000
58,2,5,A,no,4 bedroom,0,100,470000
59,2,5,B,no,4 bedroom,0,100,420000
60,2,5,C,no,2 bedroom,1,90,420000
61,2,6,A,no,4 bedroom,0,100,470000
62,2,6,B,no,4 bedroom,0,110,370000
63,2,6,C,no,2 bedroom,1,90,370000
64,2,7,A,no,3 bedroom,1,110,370000
65,2,7,B,no,2 bedroom,0,100,420000
66,2,7,C,no,2 bedroom,0,90,470000
67,2,8,A,no,3 bedroom,0,110,420000
68,2,8,B,no,2 bedroom,0,100,370000
69,2,8,C,no,2 bedroom,1,110,370000
70,2,9,A,no,3 bedroom,1,110,420000
71,2,9,B,no,4 bedroom,0,100,420000
72,2,9,C,no,4 bedroom,0,90,470000
73,2,10,A,no,2 bedroom,0,100,470000
74,2,10,B,no,3 bedroom,1,90,420000
75,2,10,C,no,2 bedroom,0,100,420000
76,2,11,A,no,2 bedroom,0,90,420000
77,2,11,B,no,3 bedroom,1,110,470000
78,2,11,C,no,3 bedroom,0,90,470000
79,2,12,A,no,2 bedroom,1,110,370000
80,2,12,B,no,2 bedroom,0,90,370000
81,2,12,C,no,2 bedroom,0,110,420000
82,2,13,A,no,2 bedroom,0,110,470000
83,2,13,B,no,4 bedroom,0,90,370000
84,2,13,C,no,3 bedroom,1,110,370000
85,2,14,A,no,4 bedroom,0,90,420000
86,2,14,B,no,3 bedroom,1,90,370000
87,2,14,C,no,2 bedroom,0,100,370000
88,2,15,A,no,4 bedroom,1,90,420000
89,2,15,B,no,4 bedroom,0,110,470000
90,2,15,C,no,2 bedroom,0,100,470000
91,3,1,A,no,2 bedroom,0,110,370000
92,3,1,B,no,4 bedroom,1,90,420000
93,3,1,C,no,4 bedroom,0,100,470000
94,3,2,A,no,3 bedroom,1,110,470000
95,3,2,B,no,3 bedroom,0,100,420000
96,3,2,C,no,2 bedroom,0,110,370000
97,3,3,A,no,2 bedroom,0,110,420000
98,3,3,B,no,2 bedroom,1,90,370000
99,3,3,C,no,4 bedroom,0,90,370000
100,3,4,A,no,4 bedroom,1,100,420000
101,3,4,B,no,2 bedroom,0,100,470000
102,3,4,C,no,2 bedroom,0,110,470000
103,3,5,A,no,3 bedroom,0,110,420000
104,3,5,B,no,3 bedroom,1,90,370000
105,3,5,C,no,3 bedroom,0,110,370000
106,3,6,A,no,2 bedroom,0,110,470000
107,3,6,B,no,4 bedroom,0,110,420000
108,3,6,C,no,3 bedroom,1,90,470000
109,3,7,A,no,2 bedroom,1,100,370000
110,3,7,B,no,3 bedroom,0,110,470000
111,3,7,C,no,3 bedroom,0,100,370000
112,3,8,A,no,4 bedroom,0,100,370000
113,3,8,B,no,3 bedroom,1,90,370000
114,3,8,C,no,2 bedroom,0,90,470000
115,3,9,A,no,4 bedroom,0,90,470000
116,3,9,B,no,2 bedroom,0,110,420000
117,3,9,C,no,3 bedroom,1,90,420000
118,3,10,A,no,3 bedroom,1,90,420000
119,3,10,B,no,4 bedroom,0,110,470000
120,3,10,C,no,4 bedroom,0,110,420000
121,3,11,A,no,4 bedroom,0,110,370000
122,3,11,B,no,3 bedroom,1,100,370000
123,3,11,C,no,3 bedroom,0,100,420000
124,3,12,A,no,4 bedroom,1,90,470000
125,3,12,B,no,4 bedroom,0,110,470000
126,3,12,C,no,3 bedroom,0,100,470000
127,3,13,A,no,3 bedroom,0,110,420000
128,3,13,B,no,4 bedroom,1,110,370000
129,3,13,C,no,2 bedroom,0,90,420000
130,3,14,A,no,4 bedroom,0,90,420000
131,3,14,B,no,3 bedroom,0,90,470000
132,3,14,C,no,2 bedroom,1,90,470000
133,3,15,A,no,4 bedroom,0,100,370000
134,3,15,B,no,2 bedroom,1,90,420000
135,3,15,C,no,2 bedroom,0,100,470000
136,4,1,A,no,4 bedroom,0,90,370000
137,4,1,B,no,4 bedroom,0,90,370000
138,4,1,C,no,2 bedroom,1,110,370000
139,4,2,A,no,3 bedroom,0,100,420000
140,4,2,B,no,4 bedroom,0,100,420000
141,4,2,C,no,2 bedroom,1,90,370000
142,4,3,A,no,3 bedroom,0,90,470000
143,4,3,B,no,3 bedroom,1,90,370000
144,4,3,C,no,3 bedroom,0,100,420000
145,4,4,A,no,4 bedroom,0,90,420000
146,4,4,B,no,3 bedroom,1,110,420000
147,4,4,C,no,2 bedroom,0,100,420000
148,4,5,A,no,3 bedroom,0,100,370000
149,4,5,B,no,3 bedroom,1,90,370000
150,4,5,C,no,4 bedroom,0,110,420000
151,4,6,A,no,4 bedroom,0,110,420000
152,4,6,B,no,2 bedroom,1,110,420000
153,4,6,C,no,4 bedroom,0,90,420000
154,4,7,A,no,2 bedroom,0,90,470000
155,4,7,B,no,4 bedroom,0,100,420000
156,4,7,C,no,2 bedroom,1,90,370000
157,4,8,A,no,4 bedroom,0,90,470000
158,4,8,B,no,3 bedroom,1,90,420000
159,4,8,C,no,2 bedroom,0,90,420000
160,4,9,A,no,3 bedroom,0,110,470000
161,4,9,B,no,2 bedroom,0,100,370000
162,4,9,C,no,3 bedroom,1,110,370000
163,4,10,A,no,4 bedroom,0,100,370000
164,4,10,B,no,3 bedroom,0,100,470000
165,4,10,C,no,3 bedroom,1,100,370000
166,4,11,A,no,4 bedroom,0,110,370000
167,4,11,B,no,2 bedroom,1,110,420000
168,4,11,C,no,2 bedroom,0,90,420000
169,4,12,A,no,2 bedroom,0,90,470000
170,4,12,B,no,2 bedroom,1,100,470000
171,4,12,C,no,3 bedroom,0,110,470000
172,4,13,A,no,4 bedroom,0,110,470000
173,4,13,B,no,3 bedroom,0,90,470000
174,4,13,C,no,3 bedroom,1,100,470000
175,4,14,A,no,4 bedroom,0,110,370000
176,4,14,B,no,2 bedroom,1,110,470000
177,4,14,C,no,4 bedroom,0,100,470000
178,4,15,A,no,4 bedroom,0,110,470000
179,4,15,B,no,2 bedroom,1,100,420000
180,4,15,C,no,4 bedroom,0,100,470000
181,5,1,A,yes,4 bedroom,0,90,470000
182,5,1,B,yes,3 bedroom,0,100,470000
183,5,1,C,yes,2 bedroom,1,90,370000
184,5,2,A,yes,3 bedroom,1,110,420000
185,5,2,B,yes,2 bedroom,0,110,470000
186,5,2,C,yes,4 bedroom,0,110,420000
187,5,3,A,yes,2 bedroom,0,90,470000
188,5,3,B,yes,4 bedroom,0,110,470000
189,5,3,C,yes,3 bedroom,1,110,370000
190,5,4,A,yes,2 bedroom,1,90,370000
191,5,4,B,yes,4 bedroom,0,90,370000
192,5,4,C,yes,2 bedroom,0,110,470000
193,5,5,A,yes,3 bedroom,1,90,470000
194,5,5,B,yes,4 bedroom,0,110,370000
195,5,5,C,yes,2 bedroom,0,90,470000
196,5,6,A,yes,2 bedroom,1,100,370000
197,5,6,B,yes,3 bedroom,0,100,420000
198,5,6,C,yes,2 bedroom,0,90,420000
199,5,7,A,yes,3 bedroom,1,100,470000
200,5,7,B,yes,4 bedroom,0,100,420000
201,5,7,C,yes,3 bedroom,0,90,420000
202,5,8,A,yes,4 bedroom,0,100,470000
203,5,8,B,yes,4 bedroom,0,90,420000
204,5,8,C,yes,4 bedroom,1,90,370000
205,5,9,A,yes,4 bedroom,0,100,470000
206,5,9,B,yes,3 bedroom,0,90,470000
207,5,9,C,yes,2 bedroom,1,110,370000
208,5,10,A,yes,2 bedroom,0,100,420000
209,5,10,B,yes,2 bedroom,0,100,470000
210,5,10,C,yes,2 bedroom,1,110,420000
